Garanti BBVA;Hesap Hareketleri;;;
Hesap Sahibi;DENİZ YILMAZ;;;
IBAN;TR62 00062000 **** **** 3456;;;
Dönem;01 Ağustos 2026 - 20 Ağustos 2026;;;
İşlem Tarihi;Açıklama;Etiket;Tutar;Bakiye
03.08.2026;MAAŞ ÖDEMESİ - AKÇA TEKNOLOJİ A.Ş.;Gelen Transfer;52.000,00;83.303,89
03.08.2026;KİRA ÖDEMESİ - EV SAHİBİ;Havale/EFT;-18.500,00;64.803,89
04.08.2026;SİTE AİDATI - YEŞİLVADİ KONUTLARI;Otomatik Ödeme;-2.500,00;62.303,89
05.08.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.684,25;60.619,64
06.08.2026;SPOTIFY AB;Kart Harcaması;-79,99;60.539,65
07.08.2026;OPET PETROLCÜLÜK MASLAK;Kart Harcaması;-1.150,00;59.389,65
08.08.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-512,40;58.877,25
10.08.2026;BEDAŞ ELEKTRİK FATURASI;Otomatik Ödeme;-1.548,70;57.328,55
11.08.2026;İSKİ SU FATURASI;Otomatik Ödeme;-472,90;56.855,65
12.08.2026;NETFLIX.COM;Kart Harcaması;-229,99;56.625,66
13.08.2026;TÜRK TELEKOM İNTERNET;Otomatik Ödeme;-549,90;56.075,76
14.08.2026;TURKCELL FATURA ÖDEMESİ;Otomatik Ödeme;-729,90;55.345,86
15.08.2026;BİM BİRLEŞİK MAĞAZALAR;Kart Harcaması;-948,60;54.397,26
17.08.2026;İSTANBULKART DOLUM;Kart Harcaması;-450,00;53.947,26
19.08.2026;STARBUCKS COFFEE LEVENT;Kart Harcaması;-236,00;53.711,26
