Garanti BBVA;Hesap Hareketleri;;;
Hesap Sahibi;DENİZ YILMAZ;;;
IBAN;TR62 00062000 **** **** 3456;;;
Dönem;01 Mart 2026 - 31 Mart 2026;;;
İşlem Tarihi;Açıklama;Etiket;Tutar;Bakiye
01.03.2026;MAAŞ ÖDEMESİ - AKÇA TEKNOLOJİ A.Ş.;Gelen Transfer;52.000,00;90.640,25
02.03.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.443,59;89.196,66
03.03.2026;KİRA ÖDEMESİ - EV SAHİBİ;Havale/EFT;-18.500,00;70.696,66
03.03.2026;STARBUCKS COFFEE LEVENT;Kart Harcaması;-203,93;70.492,73
04.03.2026;SİTE AİDATI - YEŞİLVADİ KONUTLARI;Otomatik Ödeme;-2.500,00;67.992,73
04.03.2026;İSTANBULKART DOLUM;Kart Harcaması;-423,93;67.568,80
05.03.2026;KREDİ ÖDEMESİ;İhtiyaç Kredisi Taksidi;-4.850,00;62.718,80
06.03.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-433,87;62.284,93
06.03.2026;TRENDYOL ALIŞVERİŞ;Kart Harcaması;-709,27;61.575,66
07.03.2026;SPOTIFY AB;Kart Harcaması;-79,99;61.495,67
07.03.2026;OPET PETROLCÜLÜK MASLAK;Kart Harcaması;-994,90;60.500,77
08.03.2026;BİM BİRLEŞİK MAĞAZALAR;Kart Harcaması;-869,94;59.630,83
09.03.2026;NETFLIX.COM;Kart Harcaması;-229,99;59.400,84
09.03.2026;KAHVE DÜNYASI MASLAK;Kart Harcaması;-133,16;59.267,68
10.03.2026;BEDAŞ ELEKTRİK FATURASI;Otomatik Ödeme;-1.420,80;57.846,88
10.03.2026;CİNEMAXIMUM SİNEMA;Kart Harcaması;-357,44;57.489,44
11.03.2026;İSKİ SU FATURASI;Otomatik Ödeme;-388,40;57.101,04
11.03.2026;UBER TRIP HELP.UBER.COM;Kart Harcaması;-252,73;56.848,31
12.03.2026;İGDAŞ DOĞALGAZ FATURASI;Otomatik Ödeme;-1.980,60;54.867,71
12.03.2026;SİMİT SARAYI ETİLER;Kart Harcaması;-100,32;54.767,39
13.03.2026;TÜRK TELEKOM İNTERNET;Otomatik Ödeme;-549,90;54.217,49
13.03.2026;ECZANE ŞİFA SARIYER;Kart Harcaması;-347,09;53.870,40
14.03.2026;TURKCELL FATURA ÖDEMESİ;Otomatik Ödeme;-729,90;53.140,50
14.03.2026;HEPSİBURADA SİPARİŞ;Kart Harcaması;-413,37;52.727,13
15.03.2026;KREDİ KARTI ÖDEMESİ - BONUS PLATINUM;Kredi Kartı Ödemesi;-4.800,00;47.927,13
15.03.2026;A101 YENİ MAĞAZACILIK;Kart Harcaması;-653,35;47.273,78
16.03.2026;GETİR YEMEK SİPARİŞ;Kart Harcaması;-332,27;46.941,51
17.03.2026;İSTANBULKART DOLUM;Kart Harcaması;-374,84;46.566,67
17.03.2026;UDEMY ONLİNE KURS;Kart Harcaması;-271,44;46.295,23
18.03.2026;GOOGLE *YOUTUBE PREMIUM;Kart Harcaması;-109,99;46.185,24
18.03.2026;MİDPOINT RESTORAN ETİLER;Kart Harcaması;-714,52;45.470,72
19.03.2026;CARREFOURSA MASLAK;Kart Harcaması;-1.115,53;44.355,19
20.03.2026;VİRMAN - BİRİKİM HESABI;Virman;-1.500,00;42.855,19
20.03.2026;LC WAIKIKI MAĞAZACILIK;Kart Harcaması;-764,12;42.091,07
21.03.2026;APPLE.COM/BILL ICLOUD+;Kart Harcaması;-74,99;42.016,08
21.03.2026;SHELL & TURCAS SARIYER;Kart Harcaması;-847,66;41.168,42
22.03.2026;BURGER KING MASLAK;Kart Harcaması;-231,31;40.937,11
23.03.2026;BİTAKSİ ULAŞIM;Kart Harcaması;-132,87;40.804,24
23.03.2026;STEAM PURCHASE;Kart Harcaması;-173,38;40.630,86
24.03.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.195,10;39.435,76
25.03.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-410,71;39.025,05
26.03.2026;İSPARK OTOPARK;Kart Harcaması;-137,30;38.887,75
27.03.2026;BOYNER BÜYÜK MAĞAZACILIK;Kart Harcaması;-1.890,00;36.997,75
27.03.2026;PELİT PASTANESİ;Kart Harcaması;-171,23;36.826,52
28.03.2026;VADELİ HESAP FAİZ GETİRİSİ;Faiz Tahakkuku;318,40;37.144,92
29.03.2026;GETİR MARKET SİPARİŞ;Kart Harcaması;-357,61;36.787,31
